track_id,track_name,artist,popularity,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_s
47dxS8Tlpy4dQ1xVQZPjYh,偏偏喜歡你,Danny Chan,45,0.467,0.373,7.0,-11.453,0.0286,0.645,2.33e-05,0.34,0.177,77.022,277.173
4vuVzf7BIZhDAFm3TB0Tzy,Enough,charlieonnafriday,62,0.745,0.543,7.0,-8.137,0.0396,0.22,0.0,0.174,0.242,139.964,185.267
2IrmdHJjwBH1pFIMcTJ1xq,Bad Girls,Lee Hyori,37,0.697,0.728,5.0,-3.414,0.0434,0.0856,0.0,0.0641,0.867,150.025,207.467
4JsOf9NLYPjsCfXXkhs6Dw,王子麵,Mayday,8,0.422,0.536,9.0,-8.666,0.114,0.56,0.0,0.077,0.231,89.756,175.517
3Txpk5H7P3Qc2ny1KlcWCW,"Keyboard Sonata in E-Flat Major, F. 5: II. Largo",Wilhelm Friedemann Bach,38,0.421,0.0105,0.0,-30.107,0.0509,0.995,0.866,0.101,0.337,113.188,173.52
2gug6MRv4xQFYi9LA3PJCS,你，好不好？ - TVBS連續劇【遺憾拼圖】片尾曲,Eric Chou,63,0.302,0.416,0.0,-8.903,0.0677,0.814,0.0,0.0909,0.33,77.631,309.357
3Z8FwOEN59mRMxDCtb8N0A,Be Kind (with Halsey),Marshmello,70,0.63,0.633,4.0,-7.088,0.0457,0.00776,0.0,0.0541,0.452,93.992,172.762
0LzrhCZFXW94Y8nwtTuRlw,Hollaback Girl,Gwen Stefani,69,0.926,0.916,10.0,-2.221,0.0929,0.35,6.01e-06,0.0234,0.904,110.009,199.853
57WYNt9Vm74UZij6QFj3j5,The Wife,Jocelyn Pook,36,0.0827,0.285,4.0,-11.113,0.0388,0.745,0.904,0.221,0.0589,172.293,238.507
2TI2fw9FWPeah6N4k1b4NU,This Is Home,Cavetown,0,0.81,0.266,7.0,-12.478,0.0407,0.56,1.05e-06,0.0962,0.212,130.041,226.073
05suiVwFQP9Q5DHDfjrerv,"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding,26,0.271,0.648,8.0,-5.664,0.051,0.248,0.0,0.121,0.261,189.218,253.279
0krkOwHreUD3dmXNti1PUa,牛仔很忙,Jay Chou,0,0.667,0.836,1.0,-6.386,0.0292,0.219,0.0,0.121,0.747,134.014,220.827
5hAnB1amM136zEor3ULsoQ,Hey Rivers,Drew Holcomb,19,0.622,0.665,11.0,-7.194,0.0333,0.52,0.0,0.0744,0.771,79.997,183.707
2f0pn9DkEJwAzXApnFh5cr,Someone To You,BANNERS,74,0.52,0.903,2.0,-5.497,0.042,0.00517,0.0,0.254,0.652,74.988,219.801
1XnpzbOGptRwfJhZgLbmSr,Pretty Savage,BLACKPINK,67,0.701,0.556,9.0,-7.42,0.0414,0.00886,0.000122,0.106,0.333,152.045,201.122
5dntGTbUtmUO239wQ0k3yM,Mmmh,KAI,63,0.659,0.718,7.0,-5.607,0.0507,0.202,1.01e-06,0.2,0.297,136.96,192.347
03POoLKttzwxvDBiMcLuRh,Under Control,Felixx,52,0.547,0.944,10.0,-6.136,0.0592,0.0568,0.000137,0.165,0.429,142.028,167.324
0GxMjRp5Y5wksX5MjTnGoa,"Music for Dogs - Relaxing Songs for Dogs and Puppies, Pt. 07",Sleepy Dogs,48,0.267,0.134,5.0,-19.409,0.0477,0.954,0.965,0.179,0.0764,74.71,124.087
4hYHaROtjB6YREh6AgW3fd,蒲公英的約定,Jay Chou,2,0.492,0.465,2.0,-8.873,0.0247,0.679,0.0,0.36,0.347,93.095,271.493
67pzMWGLbhUMEiCgnIZ6PS,Númenor,Bear McCreary,0,0.228,0.325,8.0,-12.782,0.0329,0.582,0.977,0.0447,0.0395,99.585,271.617
1YHT1FZv5t3ZFLsVPuy6Rq,My My My!,Troye Sivan,0,0.701,0.458,1.0,-7.749,0.0836,0.00407,0.000151,0.045,0.482,102.967,204.727
4gEoHo2OTZk2ZZc5QNtzuY,月牙湾,等一下就回家,36,0.521,0.471,4.0,-8.247,0.0317,0.786,0.0,0.105,0.269,92.054,289.604
